CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA,Mean
180,MT,10409,E,1.66982,2.03629,0.24595,1075,25.944102564102558
179,MT,85588,B,2.30031,0.46698,0.25799,1075,36.54621513944223
178,MT,19807,E,4.1583,2.56697,0.06542,1075,30.323076923076925
177,MT,95676,A,1.32325,0.64802,0.18728,1075,39.20607287449389
176,MT,117886,D,0.4443,6.27505,0.1251,1075,46.80833333333334
175,MT,60441,E,1.42701,-0.02398,0.11013,1075,61.4261146496815
174,MT,14797,D,2.93886,2.57768,0.12028,1075,30.967415730337084
173,MT,30327,D,2.81078,0.63977,0.16335,1075,36.51578947368421
172,MT,117742,B,0.65574,2.58862,0.1651,1075,17.48932806324111
171,MT,96315,A,1.69166,0.87454,0.20606,1075,31.71129032258063
170,MT,68123,B,2.18973,1.32978,0.04601,1075,39.280000000000015
169,MT,63204,E,3.78296,1.88956,0.14444,1075,22.460169491525413
168,MT,10322,C,1.53551,0.94716,0.1917,1075,29.402651515151508
167,MT,68369,A,2.57245,1.58603,0.10176,1075,14.866386554621851
166,MT,31516,A,1.50662,1.77699,0.15235,1075,15.454545454545444
165,MT,82581,A,1.90672,2.301,0.10655,1075,7.795370370370367
164,MT,117877,B,2.65709,1.6446,0.20086,1075,12.365454545454543
163,MT,32369,D,3.12341,2.40384,0.16659,1075,16.06991150442478
162,MT,111516,C,1.82335,1.38103,0.13879,1075,20.89464285714286
161,MT,28683,A,3.13149,2.33341,0.21903,1075,9.130319148936168
160,MT,8364,A,0.89111,2.43206,0.25086,1075,10.240598290598287
159,MT,85013,B,2.17147,2.5423,0.1841,1075,1.1045248868778266
158,MT,53461,C,2.67778,2.3731,0.20523,1075,0.6433734939759006
157,MT,39443,X,,,,1075,0.0
156,MT,63646,C,0.79395,2.40685,0.1129,1075,19.040909090909086
155,MT,47309,B,0.92146,2.16924,0.15718,1075,18.02964426877471
154,MT,43182,C,2.19381,1.56693,0.1302,1075,13.8595744680851
153,MT,86466,C,2.96283,2.44795,0.21497,1075,2.1877118644067797
152,MT,85228,C,2.1343,3.73781,0.24053,1075,6.869346733668341
151,MT,30053,C,1.73381,2.02109,0.14967,1075,9.78385416666667
150,MT,85343,D,2.13479,3.22198,0.12748,1075,2.0638709677419347
149,MT,111738,B,2.64614,2.2135,0.24887,1075,7.537499999999995
148,MT,61248,D,2.61757,2.2515,0.1851,1075,8.67641509433962
147,MT,117820,C,0.48694,4.48651,0.14739,1075,11.412500000000005
146,MT,95509,E,2.27997,2.41531,0.11329,1075,22.589887640449433
145,MT,117651,E,0.51115,2.58401,0.0088,1075,26.175
144,MT,75829,C,1.18017,1.92189,0.16856,1075,16.331034482758614
143,MT,5961,D,0.9032,2.45135,0.1617,1075,13.721198156682023
142,MT,86499,B,2.93676,3.33565,0.21207,1075,1.9948598130841122
141,MT,89637,E,,,,1075,2.5581395348837197
140,MT,10500,B,1.57712,3.30111,0.16855,1075,15.318750000000003
139,MT,117973,A,1.87291,2.86025,0.18347,1075,15.399350649350646
138,MT,30493,D,0.80375,2.27556,0.12859,1075,17.09319526627219
137,MT,86840,C,0.24441,4.65334,0.03228,1075,12.318932038834962
136,MT,97590,E,2.33252,2.40899,0.14217,1075,1.2778625954198475
