CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA,Mean
135,CN,82765,E,0.98394,1.03388,0.00428,1085,41.92040816326531
134,CN,75845,D,,,,1085,11.753246753246755
133,CN,31313,D,1.71131,1.42364,0.1615,1085,12.364102564102565
132,CN,88655,D,3.82953,0.85524,0.11511,1085,22.675824175824182
131,CN,141503,C,2.86161,0.4948,0.1606,1085,31.733128834355817
130,CN,126560,C,2.41581,0.78824,0.19317,1085,16.68795180722891
129,CN,28632,C,1.99451,1.78678,0.12762,1085,6.087356321839077
128,CN,111613,A,3.25053,1.20513,0.08404,1085,11.221875
127,CN,111431,E,3.48192,1.70426,0.15448,1085,16.518918918918917
126,CN,83901,B,0.40583,2.51676,0.00918,1085,19.385593220338976
125,CN,98106,E,2.46518,1.46748,0.06515,1085,9.207317073170731
124,CN,141547,B,1.90673,1.4644,0.34041,1085,6.054074074074072
123,CN,87998,E,2.14355,1.77912,0.08867,1085,14.705714285714286
122,CN,141726,A,1.68577,1.10708,0.12014,1085,22.436774193548388
121,CN,37769,B,1.78429,2.50062,0.27071,1085,14.846153846153847
120,CN,96244,E,5.67249,1.52791,0.14273,1085,18.018518518518515
119,CN,64203,A,,,,1085,21.35625
118,CN,78716,C,2.02681,0.56741,0.2452,1085,23.731412103746376
117,CN,97761,C,0.8924,1.01697,0.29789,1085,17.326361031518626
116,CN,78377,B,0.60239,2.40137,0.12017,1085,15.212707182320445
115,CN,141545,B,2.33494,1.44802,0.20932,1085,5.170833333333332
114,CN,117854,C,3.55169,1.49398,0.20257,1085,1.692105263157895
113,CN,141605,D,,,,1085,15.06969696969697
112,CN,89554,D,,,,1085,16.76304347826087
111,CN,43073,A,1.48588,0.96735,0.24215,1085,19.62411067193675
110,CN,141712,D,1.87507,0.91052,0.15109,1085,23.10886075949367
109,CN,96189,D,2.54149,1.20769,0.21012,1085,6.220270270270268
108,CN,44969,B,3.07166,1.89127,0.25272,1085,3.3055555555555522
107,CN,85860,C,5.31621,2.04288,0.17088,1085,9.799999999999995
106,CN,97915,C,2.39896,2.76588,0.1897,1085,12.093243243243247
105,CN,28034,A,1.51222,1.41874,0.14908,1085,15.104545454545447
104,CN,97727,E,2.35097,1.00991,0.30639,1085,8.686956521739129
103,CN,85445,E,4.44898,1.4048,0.15587,1085,1.532075471698113
102,CN,141731,E,1.52512,3.19204,0.11283,1085,7.534615384615382
101,CN,31381,C,1.75013,1.52509,0.16155,1085,10.440697674418601
100,CN,90130,B,1.73494,2.08841,0.27619,1085,14.994495412844035
99,CN,41054,A,1.2012,0.97602,0.22536,1085,20.27157360406092
98,CN,141725,E,1.82114,1.93167,0.06674,1085,8.954545454545457
97,CN,141597,B,2.13571,1.60964,0.14865,1085,7.775675675675675
96,CN,81969,A,2.00512,1.35453,0.16882,1085,9.074712643678152
95,CN,111558,D,3.29206,1.65709,0.14008,1085,1.1258426966292159
94,CN,111694,A,2.07884,2.23408,0.17191,1085,2.3348314606741547
93,CN,111668,B,1.98964,1.87763,0.19415,1085,8.444642857142854
92,CN,18228,D,1.95358,1.46498,0.11246,1085,16.193749999999998
91,CN,141574,A,0.69982,1.45358,0.03441,1085,27.46615384615384
