CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA,Mean
90,CH,111984,A,1.90716,1.36087,0.22521,1055,32.43636363636365
89,CH,140190,C,1.94428,0.27387,0.14788,1055,83.1285714285714
88,CH,96516,E,1.96743,2.20588,0.08863,1055,34.84358974358972
87,CH,140572,B,2.46583,0.73772,0.17053,1055,38.77727272727273
86,CH,96291,C,2.9037,1.66082,0.10307,1055,24.282978723404263
85,CH,125944,D,1.69059,0.29126,0.1166,1055,18.968749999999996
84,CH,111893,C,0.56617,1.5801,0.03472,1055,10.904687499999998
83,CH,141072,B,2.78275,0.64418,0.18557,1055,10.332499999999992
82,CH,140643,B,2.21197,1.4236,0.21778,1055,10.997560975609757
81,CH,95739,D,4.24795,0.96273,0.16049,1055,10.933333333333334
80,CH,95823,C,1.30094,0.82448,0.0937,1055,15.469642857142869
79,CH,140378,A,2.1636,0.57483,0.15916,1055,14.195999999999996
78,CH,67980,E,4.03907,1.33056,0.05942,1055,19.510714285714293
77,CH,140550,A,3.5293,0.41127,0.19018,1055,12.083333333333336
76,CH,140441,D,1.76207,1.31972,0.21908,1055,15.405263157894728
75,CH,140721,E,0.81842,0.92559,0.02544,1055,15.77377049180328
74,CH,118110,C,2.22329,1.79851,0.25237,1055,11.336065573770506
73,CH,75825,B,2.34384,0.97017,0.12421,1055,12.04324324324324
72,CH,141384,D,3.39376,1.05605,0.15958,1055,12.967857142857143
71,CH,44230,A,2.73837,0.8616,0.21624,1055,23.75909090909091
70,CH,97262,A,1.46058,-0.44013,0.20483,1055,24.330952380952382
69,CH,82962,A,1.7267,1.34237,0.16873,1055,11.198412698412698
68,CH,111964,D,2.81132,0.5445,0.20515,1055,10.613333333333335
67,CH,141148,D,3.48759,0.79822,0.18644,1055,34.70000000000002
66,CH,140914,C,0.85459,2.13235,0.12367,1055,19.6622641509434
65,CH,141048,B,1.63923,-0.72645,0.00905,1055,44.09607843137254
64,CH,84199,A,,,,1055,7.991836734693873
63,CH,112145,B,0.47387,2.25057,0.00901,1055,13.474999999999996
62,CH,140585,C,2.18434,1.60479,0.16086,1055,18.625000000000004
61,CH,141030,E,3.15825,0.30776,0.14196,1055,14.832352941176469
60,CH,140429,B,2.16917,0.75171,0.18087,1055,11.696
59,CH,118066,C,1.933,0.69054,0.17203,1055,21.765384615384612
58,CH,125654,E,1.49576,0.47561,0.01589,1055,32.28333333333335
57,CH,141355,A,2.81233,1.85756,0.17604,1055,32.06666666666667
56,CH,141364,A,1.83281,-0.1754,0.04287,1055,43.03972602739727
55,CH,140631,B,1.57605,2.33974,0.25072,1055,13.810169491525427
54,CH,125706,E,0.5628,2.08511,0.00958,1055,14.340000000000007
53,CH,140568,A,1.48568,0.87454,0.17248,1055,12.69594594594595
52,CH,88045,D,3.62371,0.51644,0.275,1055,9.799999999999999
51,CH,87207,E,4.79392,1.19623,0.12998,1055,7.515789473684208
50,CH,140682,E,1.88815,1.59325,0.13196,1055,20.05675675675676
49,CH,140639,B,2.71371,0.59055,0.19782,1055,23.250980392156862
48,CH,141322,A,2.8995,-0.42411,0.19356,1055,30.911864406779657
47,CH,83806,E,1.98269,0.65728,0.08702,1055,17.225352112676056
46,CH,140506,D,0.98121,1.34897,0.06218,1055,15.576000000000006
