CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,TP_LINGUA,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA
1,LC,111918,D,0.0,3.71022,0.34919,0.20287,1065
45,LC,141261,E,,2.31367,0.48334,0.18144,1065
44,LC,81994,C,,0.91022,0.76591,0.01172,1065
43,LC,78112,E,,0.76335,0.46065,0.00865,1065
42,LC,90238,D,,1.32058,0.69547,0.07827,1065
41,LC,10776,B,,1.35922,-0.10494,0.00701,1065
40,LC,6864,D,,0.57225,0.0979,0.01556,1065
39,LC,54528,E,,2.90825,2.05309,0.10359,1065
38,LC,120368,B,,3.46434,2.20555,0.0675,1065
37,LC,141390,A,,1.54579,-0.30477,0.00839,1065
36,LC,111961,C,,1.6838,0.70642,0.29621,1065
35,LC,140898,C,,1.69478,2.32558,0.16355,1065
34,LC,119767,D,,2.11177,-0.55865,0.18565,1065
33,LC,86703,A,,2.08922,0.96392,0.23742,1065
32,LC,44570,A,,1.04632,0.65812,0.23788,1065
31,LC,89149,A,,1.05565,0.45772,0.03348,1065
30,LC,26545,C,,4.15101,1.348,0.0928,1065
29,LC,111954,D,,0.78612,1.19878,0.06459,1065
28,LC,120626,B,,0.82491,0.89707,0.03562,1065
27,LC,141410,B,,2.62079,0.2007,0.10693,1065
26,LC,96502,C,,1.14926,-0.51604,0.00912,1065
25,LC,141203,C,,1.71461,-0.15137,0.18763,1065
24,LC,141440,E,,2.72306,0.13273,0.20082,1065
23,LC,9716,E,,0.9036,1.48142,0.05685,1065
22,LC,39101,E,,2.07003,1.19098,0.13567,1065
21,LC,140827,B,,2.05337,0.67994,0.17382,1065
20,LC,45201,C,,2.64453,1.04534,0.13269,1065
19,LC,120124,C,,2.93292,0.03337,0.17638,1065
18,LC,67229,A,,2.64295,1.76932,0.18786,1065
17,LC,141464,B,,0.94658,1.25172,0.21415,1065
16,LC,141427,E,,2.40522,2.28139,0.1137,1065
15,LC,111926,B,,2.48072,0.89717,0.27108,1065
14,LC,42940,D,,1.30734,-0.29879,0.00797,1065
13,LC,120622,B,,2.558,0.65099,0.12178,1065
12,LC,42674,B,,2.26956,0.51892,0.2337,1065
11,LC,41810,A,,0.92958,0.15096,0.01173,1065
10,LC,49544,C,,2.43974,1.15872,0.12513,1065
9,LC,66576,A,,2.66065,-0.7431,0.13295,1065
8,LC,118120,A,,1.53331,2.16698,0.23705,1065
7,LC,111929,A,,2.15283,1.51639,0.20049,1065
6,LC,60382,E,,1.77346,0.68047,0.08704,1065
5,LC,140567,A,1.0,1.95054,-0.11616,0.18874,1065
4,LC,140527,A,1.0,1.12895,-0.11509,0.20583,1065
3,LC,76318,C,1.0,0.56882,1.97791,0.12768,1065
2,LC,118252,D,1.0,1.93731,0.91995,0.14292,1065
1,LC,118230,E,1.0,1.79286,-0.35288,0.09108,1065
5,LC,140626,E,0.0,2.55762,0.57348,0.15419,1065
4,LC,140731,D,0.0,2.88489,0.49591,0.18224,1065
3,LC,140767,B,0.0,4.34313,0.36871,0.44865,1065
2,LC,111835,C,0.0,2.64617,0.79049,0.1896,1065
