CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,TP_LINGUA,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA
28,LC,11437,E,,1.16098,1.0073,0.21912,577
40,LC,11966,A,,1.22111,1.6828,0.21162,577
29,LC,12204,B,,1.62712,0.53489,0.10236,577
25,LC,15001,A,,1.61694,1.83853,0.26085,577
34,LC,16501,A,,2.14866,2.2551,0.25595,577
18,LC,17055,A,,1.35608,1.44454,0.23512,577
23,LC,17413,A,,2.78735,1.75256,0.1497,577
41,LC,18128,A,,2.46437,1.68698,0.1109,577
45,LC,20652,B,,2.46676,2.21741,0.13534,577
8,LC,21377,A,,1.72932,1.85051,0.14869,577
1,LC,23296,A,1.0,1.11049,0.90747,0.12604,577
21,LC,30842,B,,0.35878,5.45136,0.16296,577
30,LC,32400,B,,2.17398,1.80746,0.14684,577
43,LC,33271,D,,2.51134,-0.5151,0.0477,577
44,LC,35684,B,,1.47886,0.19951,0.22972,577
35,LC,44328,A,,1.7744,0.02359,0.1871,577
20,LC,52618,D,,3.21497,0.54565,0.16443,577
2,LC,54896,C,1.0,2.64138,1.65747,0.26148,577
17,LC,59955,D,,1.68626,0.30607,0.14643,577
4,LC,60777,D,0.0,2.4824,1.238,0.1645,577
5,LC,62053,E,1.0,1.58373,0.69608,0.08395,577
6,LC,63448,C,,3.18825,1.2588,0.17432,577
26,LC,64056,D,,1.59796,-0.16732,0.19647,577
1,LC,66641,A,0.0,2.31503,0.45154,0.171,577
27,LC,76967,D,,1.73723,-0.11868,0.05058,577
32,LC,84295,B,,1.28796,0.07454,0.01332,577
37,LC,86091,E,,1.43863,1.09024,0.12537,577
3,LC,86186,E,1.0,2.60905,1.22414,0.19537,577
14,LC,89327,B,,1.57221,2.74643,0.22189,577
15,LC,89906,B,,2.90947,-0.40822,0.1293,577
11,LC,96433,B,,1.93001,1.02406,0.14189,577
36,LC,96814,D,,1.70534,0.36247,0.17758,577
16,LC,96861,E,,2.41993,1.10401,0.14865,577
3,LC,98143,E,0.0,1.81272,2.02318,0.12074,577
19,LC,111819,C,,2.86286,1.44944,0.21361,577
22,LC,111838,A,,1.06929,-0.44002,0.01379,577
31,LC,111850,E,,1.40709,0.81183,0.17507,577
39,LC,111903,C,,2.2083,0.2591,0.17176,577
33,LC,111915,A,,1.84353,0.86234,0.24868,577
4,LC,111973,E,1.0,2.08839,0.68118,0.15812,577
38,LC,111989,A,,1.48285,1.91416,0.16479,577
10,LC,112059,C,,1.10742,1.64,0.25509,577
2,LC,112060,A,0.0,3.07686,0.1948,0.16639,577
5,LC,112080,C,0.0,2.30083,0.76945,0.17272,577
42,LC,112087,A,,2.07488,0.54207,0.20064,577
13,LC,112089,E,,1.60955,0.26979,0.20531,577
12,LC,112112,A,,1.74167,1.51202,0.24386,577
7,LC,112130,E,,2.15389,1.14557,0.10595,577
9,LC,112138,A,,1.52123,1.91811,0.18523,577
24,LC,112151,D,,3.32308,1.49208,0.18606,577
