CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA
145,MT,7633,B,2.73149,2.49854,0.13472,587
142,MT,8028,E,2.09221,0.99371,0.1329,587
160,MT,10660,C,1.75839,2.40752,0.16633,587
161,MT,13085,B,4.06335,2.18033,0.2161,587
146,MT,15248,C,3.29625,2.86173,0.25529,587
169,MT,15897,C,1.89497,1.65188,0.27993,587
171,MT,24338,D,1.33979,1.93473,0.18699,587
141,MT,29531,A,1.73821,2.6803,0.13986,587
176,MT,30344,E,1.2009,0.84968,0.16359,587
163,MT,30462,E,1.57033,2.17738,0.11432,587
138,MT,32975,B,3.35137,3.34168,0.16605,587
144,MT,37286,B,3.25442,1.5772,0.1355,587
143,MT,37990,D,1.5164,1.9226,0.2304,587
168,MT,41676,A,3.19891,1.60834,0.17181,587
179,MT,43031,E,2.99305,1.84654,0.06394,587
157,MT,44322,X,,,,587
158,MT,48864,C,1.78193,3.29884,0.18914,587
175,MT,49630,A,2.75865,1.15201,0.15163,587
153,MT,49782,C,1.08432,0.84339,0.01494,587
155,MT,55387,B,2.59667,1.34028,0.15449,587
139,MT,59546,C,2.75624,0.62447,0.09203,587
159,MT,60666,C,0.96583,2.50648,0.2049,587
180,MT,62498,C,3.02476,1.33416,0.11462,587
154,MT,63324,C,2.18282,2.31084,0.14885,587
173,MT,63901,C,2.42448,3.0197,0.15362,587
148,MT,77477,C,2.96092,0.8958,0.18532,587
137,MT,82724,A,1.5867,-0.08552,0.20086,587
167,MT,83638,B,2.00634,1.15438,0.14059,587
165,MT,83753,D,2.5968,2.82961,0.09691,587
149,MT,84253,A,2.88702,2.82281,0.13958,587
178,MT,85053,A,0.93375,1.1092,0.07392,587
136,MT,85224,D,1.50087,2.33109,0.12155,587
152,MT,85793,A,2.94722,2.06568,0.12112,587
174,MT,85945,B,1.53928,1.60311,0.19657,587
147,MT,86282,C,2.26511,2.77688,0.23479,587
156,MT,86803,D,2.04724,1.08171,0.1794,587
164,MT,88028,E,2.31216,0.44069,0.18915,587
140,MT,111432,C,1.18053,2.23254,0.20706,587
151,MT,111461,C,2.99017,1.89021,0.15884,587
177,MT,111491,B,1.25662,-0.40358,0.20406,587
162,MT,111525,E,2.14544,1.73587,0.22609,587
166,MT,111530,B,2.59012,2.03367,0.18389,587
172,MT,111566,A,2.73154,1.76976,0.1412,587
150,MT,111714,B,2.13749,1.78181,0.156,587
170,MT,111719,C,1.22121,2.10949,0.09007,587
