CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA
63,CH,15291,B,4.43583,1.68003,0.27045,567
81,CH,18425,C,2.11495,1.84337,0.12869,567
70,CH,35686,E,1.92473,1.50185,0.12074,567
78,CH,38675,C,3.98011,0.78922,0.18995,567
62,CH,42444,B,2.20063,1.67407,0.24121,567
49,CH,43978,C,3.11394,1.33811,0.15766,567
86,CH,45217,D,3.55293,1.2341,0.18404,567
77,CH,46932,A,2.11017,1.58198,0.23073,567
76,CH,63343,B,1.6559,1.87439,0.19625,567
69,CH,84269,E,2.31975,1.58949,0.11892,567
50,CH,84333,B,1.33904,-0.24666,0.20167,567
72,CH,85290,B,2.14778,2.28546,0.17138,567
87,CH,85886,E,3.71752,1.25879,0.16922,567
54,CH,87040,A,3.86355,0.08927,0.13133,567
60,CH,87216,E,1.94651,1.07266,0.32936,567
64,CH,87999,E,3.04125,1.73772,0.29717,567
59,CH,88041,C,1.30366,1.05118,0.23195,567
66,CH,88307,E,1.28092,-0.03828,0.18724,567
52,CH,89808,D,2.10695,0.73908,0.14776,567
73,CH,95418,C,5.86603,1.02878,0.11527,567
83,CH,95904,D,2.30836,1.49244,0.2204,567
84,CH,95948,E,2.20464,1.56358,0.14004,567
89,CH,96190,D,2.78486,0.55811,0.19808,567
82,CH,96883,A,2.73973,0.99387,0.26428,567
67,CH,97979,B,1.63948,3.22867,0.14221,567
85,CH,98153,B,2.17784,1.21931,0.26503,567
48,CH,111788,B,2.15838,1.83008,0.13413,567
65,CH,111792,D,2.99705,1.18132,0.18751,567
68,CH,111815,D,2.05053,0.95988,0.14344,567
90,CH,111863,D,1.02714,0.71578,0.17357,567
80,CH,111886,C,1.63725,1.31747,0.18855,567
55,CH,111912,E,1.63342,3.51778,0.12276,567
71,CH,111917,C,1.72233,0.22539,0.22096,567
75,CH,111919,C,2.83963,1.08367,0.17694,567
51,CH,111924,D,1.04807,0.55132,0.21946,567
74,CH,111930,C,2.63281,1.21099,0.28106,567
79,CH,111945,D,1.68186,0.1343,0.17621,567
57,CH,111968,B,2.04864,2.07959,0.11925,567
47,CH,111987,A,2.47767,1.82861,0.30933,567
58,CH,112012,E,1.34049,1.03565,0.19675,567
88,CH,112015,C,1.02685,0.10876,0.19583,567
46,CH,112017,D,3.53336,1.34087,0.13677,567
61,CH,112065,C,1.41212,1.60777,0.2112,567
56,CH,112103,D,1.73079,1.00147,0.27,567
53,CH,112106,D,1.93888,0.76774,0.16887,567
