CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA,Mean
135,CN,32352,X,,,,597,0.0
134,CN,87675,D,2.46972,0.95056,0.13112,597,20.459523809523812
133,CN,84063,C,2.95498,1.28416,0.16449,597,28.88900000000001
132,CN,111501,D,1.46882,-0.23526,0.19946,597,33.59658536585367
131,CN,87642,E,3.99324,0.94637,0.16656,597,6.197260273972603
130,CN,90016,A,1.0062,2.26887,0.12084,597,11.34155844155844
129,CN,77782,B,2.6178,0.81621,0.05772,597,21.644827586206883
128,CN,81964,C,2.93991,1.73038,0.232,597,24.127419354838704
127,CN,84057,C,0.74154,0.63222,0.01071,597,27.818881118881116
126,CN,111709,A,2.21526,0.67088,0.17268,597,16.569047619047623
125,CN,98228,D,1.57481,1.65344,0.22044,597,17.960869565217397
124,CN,87690,D,2.54499,0.32436,0.18403,597,25.908823529411762
123,CN,82243,E,1.92924,2.72331,0.17678,597,21.307070707070707
122,CN,55948,C,2.9073,0.12756,0.21003,597,24.56084905660378
121,CN,38012,E,1.88342,1.48748,0.27044,597,4.582089552238808
120,CN,111537,A,2.82041,2.00971,0.12385,597,8.778181818181812
119,CN,83684,A,1.7008,1.15068,0.14749,597,10.839552238805975
118,CN,14993,C,0.99966,1.19437,0.21325,597,13.308653846153845
117,CN,40151,D,2.11847,1.57164,0.14442,597,5.421052631578953
116,CN,111430,D,1.82854,2.08846,0.1837,597,10.77285714285715
115,CN,49826,B,1.79438,0.79213,0.20738,597,15.514965986394566
114,CN,89494,C,2.28319,2.62945,0.24444,597,10.402298850574715
113,CN,83584,D,3.26129,0.47507,0.24933,597,15.38571428571428
112,CN,111722,D,1.64715,0.84954,0.17537,597,15.03214285714286
111,CN,85606,B,2.97674,1.69468,0.29489,597,1.7145161290322588
110,CN,82708,D,2.11734,1.59379,0.09209,597,7.05762711864407
109,CN,97512,E,1.45425,1.67689,0.14048,597,7.998095238095239
108,CN,83046,C,1.29492,1.17942,0.15943,597,16.44268292682927
107,CN,78655,C,0.50541,0.95758,0.04207,597,18.360396039603962
106,CN,84444,C,3.17216,1.35723,0.2178,597,12.097101449275359
105,CN,53548,D,0.29544,3.80025,0.02691,597,12.871212121212118
104,CN,95441,E,3.0376,0.62392,0.2084,597,7.916312056737586
103,CN,87702,A,2.27533,1.8581,0.2625,597,5.401449275362315
102,CN,79139,D,3.31199,1.88363,0.1386,597,7.257657657657657
101,CN,10035,C,2.40418,0.72028,0.21294,597,10.054802259887008
100,CN,76371,E,2.39814,1.69946,0.19017,597,1.221374045801528
99,CN,49867,D,3.21388,1.90806,0.17205,597,3.226760563380281
98,CN,59913,D,2.29781,1.5026,0.13077,597,11.576190476190472
97,CN,14966,D,1.99076,0.67442,0.18662,597,15.821186440677966
96,CN,17936,B,3.01205,1.50249,0.18745,597,1.6040322580645172
95,CN,31244,C,2.91476,1.12362,0.11243,597,11.13714285714286
94,CN,60072,A,4.35472,1.09202,0.14701,597,24.72121212121212
93,CN,62745,B,2.74421,1.55431,0.18593,597,25.056097560975616
92,CN,79124,D,1.71246,-0.07547,0.17405,597,32.11455696202531
91,CN,84184,D,1.85393,0.63073,0.178,597,17.408552631578942
