CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA
136,MT,82123,A,1.75065,2.4194,0.14805,459
137,MT,111477,C,0.83472,3.8538,0.16719,459
138,MT,32189,E,1.86031,2.95,0.17211,459
139,MT,111725,A,1.47034,3.31311,0.1424,459
140,MT,86988,D,1.41648,1.88079,0.16685,459
141,MT,30331,C,2.55414,2.6677,0.22815,459
142,MT,66805,E,4.68954,1.506,0.12012,459
143,MT,15292,B,3.33463,1.86899,0.21641,459
144,MT,111468,B,1.36078,1.1564,0.02623,459
145,MT,32905,D,2.18007,1.80201,0.15123,459
146,MT,111524,A,3.86138,1.36143,0.14915,459
147,MT,97059,D,3.05583,1.34943,0.10809,459
148,MT,48921,A,2.1454,2.05264,0.19268,459
149,MT,111535,A,1.32842,2.32157,0.20359,459
150,MT,111718,E,0.24681,3.47775,0.02647,459
151,MT,111554,B,2.77807,3.31893,0.28666,459
152,MT,96201,B,3.58407,2.94242,0.1875,459
153,MT,15884,D,1.0681,2.89341,0.16386,459
154,MT,111434,D,1.1816,3.44272,0.1365,459
155,MT,111594,E,2.66415,1.64983,0.09545,459
156,MT,28815,D,2.15655,3.72556,0.14695,459
157,MT,29500,A,2.44385,1.98197,0.08633,459
158,MT,82367,B,1.46307,2.90397,0.16934,459
159,MT,111609,A,1.91344,0.1217,0.34263,459
160,MT,111487,D,3.53913,1.54995,0.19735,459
161,MT,86027,B,1.4909,3.45729,0.09597,459
162,MT,62736,E,2.43503,1.6332,0.12168,459
163,MT,30294,X,,,,459
164,MT,29938,C,1.15923,1.57022,0.17437,459
165,MT,83742,C,1.78838,2.97454,0.24777,459
166,MT,12922,C,3.0651,1.86549,0.14637,459
167,MT,53559,D,2.92985,1.87774,0.13712,459
168,MT,111512,B,2.94976,1.27294,0.19298,459
169,MT,111557,C,1.67338,3.02425,0.21851,459
170,MT,84768,A,2.42824,2.08891,0.13961,459
171,MT,111692,E,2.43833,1.50312,0.09519,459
172,MT,98294,E,1.25148,0.88381,0.13308,459
173,MT,111628,A,1.23644,3.86545,0.18943,459
174,MT,111523,C,0.89075,3.58175,0.2242,459
175,MT,18456,B,2.60715,3.02371,0.30706,459
176,MT,61172,C,1.88752,2.03259,0.09961,459
177,MT,32953,D,3.16831,1.44943,0.19086,459
178,MT,5990,D,1.929,3.008,0.185,459
179,MT,98070,A,2.10243,1.89084,0.11933,459
180,MT,85892,B,0.32259,4.77908,0.02107,459
