CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA
46,CH,84321,C,5.10044,1.511,0.13957,451
47,CH,111920,A,3.21792,1.6599,0.14834,451
48,CH,112045,C,3.46765,1.30736,0.15603,451
49,CH,97982,D,2.67992,1.47683,0.11389,451
50,CH,111805,D,4.00369,1.3994,0.16074,451
51,CH,96595,B,2.85915,1.35288,0.32615,451
52,CH,86760,D,4.41776,1.34319,0.14594,451
53,CH,111972,D,3.66124,1.90182,0.09097,451
54,CH,44378,E,4.22228,1.01525,0.18939,451
55,CH,83733,C,4.79502,1.23908,0.18538,451
56,CH,96813,C,5.31599,1.31276,0.17992,451
57,CH,97862,E,3.15291,0.99606,0.06127,451
58,CH,97652,D,2.53136,2.02654,0.23962,451
59,CH,111823,E,1.42279,1.11463,0.05277,451
60,CH,97747,E,4.81178,0.85966,0.15211,451
61,CH,95752,E,1.59757,1.3002,0.05839,451
62,CH,111988,B,3.84706,1.22482,0.17175,451
63,CH,89461,C,2.26131,1.79644,0.22052,451
64,CH,88500,E,4.28812,1.05968,0.13154,451
65,CH,112081,A,1.62334,1.80121,0.14924,451
66,CH,97786,E,2.04803,2.46656,0.19722,451
67,CH,88057,E,3.40619,1.45138,0.13922,451
68,CH,87101,C,1.04948,1.41026,0.12765,451
69,CH,98027,B,3.26045,2.04583,0.1747,451
70,CH,85205,B,6.64097,1.44488,0.19728,451
71,CH,111841,E,3.42899,1.44729,0.1808,451
72,CH,111943,B,6.69428,1.39536,0.11947,451
73,CH,96354,E,3.92803,1.08796,0.09238,451
74,CH,112110,D,2.83948,0.77569,0.10909,451
75,CH,112014,B,4.47836,2.02417,0.12905,451
76,CH,86195,E,2.1655,0.79673,0.03448,451
77,CH,88107,D,1.97,2.55364,0.17706,451
78,CH,97888,E,2.34409,1.51378,0.17552,451
79,CH,84853,C,2.46746,1.6304,0.11594,451
80,CH,95528,B,3.51503,1.15937,0.19457,451
81,CH,111802,E,2.82762,1.76871,0.08145,451
82,CH,111978,B,2.42169,1.66005,0.18248,451
83,CH,87110,D,0.60114,3.21465,0.04218,451
84,CH,89639,C,2.64093,0.97084,0.10439,451
85,CH,26427,A,4.54182,0.94711,0.22956,451
86,CH,112013,A,3.4662,1.3981,0.16469,451
87,CH,111873,B,1.9957,0.71975,0.11139,451
88,CH,88520,C,1.44874,2.04777,0.21786,451
89,CH,112122,D,2.14361,2.00995,0.17873,451
90,CH,89113,E,2.42215,1.58606,0.13283,451
