CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA,Mean
135,CN,62289,D,1.51059,1.777,0.06851,447,17.57582417582418
134,CN,83440,E,2.3472,1.81929,0.05895,447,10.016564417177916
133,CN,85700,C,1.8199,1.42382,0.13254,447,13.198327759197326
132,CN,46621,A,2.89268,0.97872,0.15829,447,9.579888268156427
131,CN,17449,B,8.00279,2.09568,0.33632,447,2.7235981308411206
130,CN,40203,B,2.40632,1.8928,0.12094,447,6.829946524064173
129,CN,27417,E,1.67211,1.96584,0.24188,447,19.11648351648352
128,CN,111564,B,1.5965,1.16868,0.11844,447,23.834291581108822
127,CN,97446,E,1.869,0.91258,0.12516,447,27.685796105383744
126,CN,111411,B,1.25858,0.79603,0.19389,447,22.494161260426303
125,CN,111463,A,1.7303,2.07699,0.24838,447,2.6725546058879392
124,CN,111612,A,4.95113,0.77702,0.26199,447,2.669465648854963
123,CN,111637,E,2.65752,1.59508,0.15058,447,11.553048780487808
122,CN,111761,A,2.03133,1.98006,0.20358,447,16.351769911504412
121,CN,111414,E,2.04034,1.92499,0.21775,447,20.710284810126577
120,CN,111395,E,1.74195,2.00253,0.12818,447,9.303906250000002
119,CN,111720,C,2.03842,1.28024,0.1488,447,11.247106325706593
118,CN,12199,B,1.89006,1.7307,0.23529,447,6.248491879350343
117,CN,82909,D,2.33756,1.05073,0.2738,447,8.500000000000005
116,CN,76034,B,3.2733,1.82425,0.09321,447,8.385546875
115,CN,86222,D,3.34738,0.81755,0.28074,447,22.20430379746835
114,CN,59858,A,3.48757,1.61171,0.17521,447,32.5027649769585
113,CN,111653,A,1.11154,0.37898,0.09388,447,35.31332737030414
112,CN,89518,C,3.91646,1.31695,0.14694,447,15.607228915662644
111,CN,87724,E,1.71388,1.29656,0.10169,447,20.177963272120213
110,CN,111533,A,1.50152,1.93822,0.08461,447,12.391780821917825
109,CN,76029,D,1.57501,2.57259,0.3311,447,6.4246376811594255
108,CN,43554,D,2.76937,1.50273,0.18595,447,8.34114713216958
107,CN,88496,C,1.17373,2.03465,0.14095,447,11.432876712328763
106,CN,62499,D,3.20508,1.25772,0.17322,447,3.258131487889273
105,CN,111394,C,2.58095,2.06279,0.24535,447,5.771599999999999
104,CN,60359,A,1.37076,2.55861,0.08688,447,7.380645161290318
103,CN,82306,C,4.08723,1.42925,0.18667,447,2.9979020979020983
102,CN,67958,C,3.9208,1.41415,0.11735,447,21.35185185185186
101,CN,12591,B,4.53397,1.35731,0.08292,447,29.201115241635684
100,CN,66646,E,2.38835,0.44914,0.13382,447,35.675209380234506
99,CN,111408,C,1.24846,1.46128,0.08248,447,25.643792633014954
98,CN,111506,A,1.87928,1.01563,0.07272,447,28.87129735935709
97,CN,11526,C,1.62341,0.557,0.27893,447,21.456952539550386
96,CN,61264,B,1.85116,1.38202,0.14086,447,14.652433628318583
95,CN,111630,D,1.44722,1.54204,0.09725,447,17.879568106312277
94,CN,111635,E,1.8637,1.5452,0.17661,447,7.000000000000005
93,CN,39342,D,2.07227,1.12818,0.2408,447,8.8439393939394
92,CN,87205,D,2.18742,1.54804,0.13671,447,12.927272727272722
91,CN,111456,B,0.92339,1.76478,0.08431,447,21.13722826086955
