CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,TP_LINGUA,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA
1,LC,84836,B,1.0,1.76657,1.0366,0.213,455
1,LC,87035,B,0.0,4.5056,0.73171,0.2227,455
2,LC,87507,B,0.0,4.00263,0.48023,0.34654,455
2,LC,88480,B,1.0,1.16779,1.53947,0.11223,455
3,LC,32893,C,1.0,2.59894,0.65173,0.18129,455
3,LC,95804,D,0.0,4.32651,0.80674,0.21308,455
4,LC,13652,E,0.0,2.43311,0.94271,0.15103,455
4,LC,55925,D,1.0,1.80017,0.8021,0.20292,455
5,LC,59531,B,1.0,1.17987,0.18899,0.05644,455
5,LC,85387,C,0.0,3.00737,0.91167,0.45573,455
6,LC,111829,C,,2.81419,0.69753,0.11358,455
7,LC,111931,E,,1.63036,0.93887,0.07536,455
8,LC,97995,C,,2.35786,1.11397,0.23434,455
9,LC,112051,B,,3.71981,0.70995,0.19426,455
10,LC,97968,A,,0.83826,1.29183,0.02232,455
11,LC,112018,B,,1.44002,0.28212,0.01065,455
12,LC,78076,D,,2.83439,1.00477,0.20723,455
13,LC,9065,B,,3.04421,0.45016,0.10913,455
14,LC,111896,E,,1.84593,2.0971,0.06234,455
15,LC,24528,D,,0.49981,3.32746,0.04951,455
16,LC,96758,A,,1.29262,1.31726,0.14007,455
17,LC,83517,C,,1.37901,1.32756,0.07485,455
18,LC,89331,D,,0.97846,0.67628,0.01231,455
19,LC,89487,D,,1.55831,0.45003,0.11333,455
20,LC,112076,B,,0.95139,4.35476,0.25846,455
21,LC,112092,B,,2.40823,1.41052,0.06055,455
22,LC,111948,B,,1.43134,0.04637,0.08559,455
23,LC,24007,E,,0.94955,0.78242,0.01255,455
24,LC,111970,A,,3.00407,0.86553,0.12715,455
25,LC,23230,D,,1.87571,0.49827,0.20467,455
26,LC,25943,E,,1.27597,1.82145,0.16274,455
27,LC,68242,C,,1.65664,0.36753,0.01477,455
28,LC,112143,A,,1.81453,0.5888,0.31442,455
29,LC,23744,C,,2.84638,1.69334,0.09954,455
30,LC,6818,E,,2.21619,1.06685,0.08843,455
31,LC,112066,D,,3.9313,0.57499,0.12299,455
32,LC,23615,B,,0.93968,0.71348,0.01825,455
33,LC,76800,E,,2.41183,1.42846,0.15898,455
34,LC,112150,B,,1.95328,1.6945,0.18002,455
35,LC,112101,A,,1.21324,2.30266,0.14615,455
36,LC,82889,B,,3.9794,0.59122,0.20812,455
37,LC,112113,C,,1.69328,1.27469,0.05119,455
38,LC,64063,B,,1.52555,3.06995,0.19863,455
39,LC,112054,E,,1.02723,0.48041,0.00765,455
40,LC,97416,A,,1.29567,1.39476,0.11929,455
41,LC,112041,E,,0.8512,1.63346,0.00591,455
42,LC,89028,C,,2.64074,2.10792,0.25229,455
43,LC,8562,A,,1.19713,1.58367,0.12869,455
44,LC,111884,D,,1.22307,1.2123,0.01696,455
45,LC,112053,A,,1.68734,0.99457,0.20253,455
