CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA,Mean
135,CN,46813,D,2.76737,1.53283,0.1128,909,5.159259259259254
134,CN,117980,C,1.7383,1.40697,0.1367,909,10.552272727272722
133,CN,88403,D,2.9738,1.96749,0.12076,909,18.751612903225805
132,CN,111664,A,2.45876,0.44934,0.19743,909,22.544444444444448
131,CN,54959,B,2.15669,1.23172,0.29573,909,5.494736842105257
130,CN,54019,B,3.87694,1.86924,0.19867,909,37.02000000000002
129,CN,87718,B,3.29305,1.87858,0.17777,909,35.00833333333333
128,CN,111546,D,3.28052,1.65567,0.21068,909,37.39285714285714
127,CN,97577,C,1.73579,-0.23373,0.13306,909,44.02584269662921
126,CN,14944,D,1.20474,2.12158,0.23447,909,5.250943396226414
125,CN,81640,B,1.7041,1.93672,0.18178,909,13.6
124,CN,117627,C,2.28165,0.59099,0.22224,909,19.56493506493508
123,CN,85525,D,0.49099,1.72446,0.02266,909,16.626923076923074
122,CN,82265,C,2.63278,0.67271,0.32905,909,9.650526315789474
121,CN,78726,E,1.27392,1.76469,0.13413,909,10.354237288135597
120,CN,111544,A,2.35776,1.39005,0.14902,909,5.548888888888888
119,CN,84331,A,2.53465,2.4095,0.0954,909,6.6421052631579
118,CN,86378,D,,,,909,7.410606060606059
117,CN,98020,B,1.36007,1.79781,0.13996,909,10.85416666666667
116,CN,84502,C,2.1616,2.43316,0.3388,909,1.2435643564356393
115,CN,111647,B,2.72669,1.99105,0.20284,909,5.142307692307693
114,CN,19227,B,2.39928,1.65732,0.14967,909,24.522222222222233
113,CN,66339,E,3.2481,1.38461,0.17112,909,34.21538461538462
112,CN,85079,E,0.92989,-0.72714,0.02105,909,36.737583892617465
111,CN,39279,B,1.41618,0.30941,0.07884,909,35.175308641975306
110,CN,111623,B,2.5914,1.40589,0.13998,909,3.202857142857145
109,CN,89864,C,2.59028,1.66716,0.26726,909,7.052380952380952
108,CN,98108,D,2.76968,0.71695,0.24269,909,10.50789473684211
107,CN,60284,C,1.89764,1.77374,0.22707,909,7.115624999999998
106,CN,117891,C,0.81733,2.29106,0.15388,909,10.02181818181817
105,CN,59907,A,2.3659,2.02542,0.14126,909,3.474358974358976
104,CN,117795,B,3.24877,1.21839,0.09433,909,3.4640000000000053
103,CN,88260,E,2.12286,1.66345,0.22982,909,2.4738461538461576
102,CN,62293,B,3.00296,1.17427,0.16918,909,4.712500000000004
101,CN,48911,C,1.98857,1.61387,0.29096,909,11.512499999999996
100,CN,117898,B,2.68999,0.6514,0.15907,909,18.420454545454557
99,CN,126594,A,2.7664,0.51395,0.30712,909,11.15137614678899
98,CN,111498,D,0.7292,3.81485,0.10881,909,12.696000000000003
97,CN,12401,E,1.83234,0.97623,0.19551,909,12.320731707317075
96,CN,63600,B,2.78598,1.12828,0.24608,909,4.155128205128209
95,CN,117843,A,4.13911,0.76309,0.13487,909,9.124390243902436
94,CN,85781,C,0.77238,3.24395,0.19069,909,11.634999999999994
93,CN,68355,E,1.89221,0.64628,0.16333,909,20.94594594594594
92,CN,63095,D,3.01758,1.65693,0.15293,909,2.3105263157894727
91,CN,117867,E,2.57831,1.34841,0.19923,909,2.878787878787879
