CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,TP_LINGUA,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA
2,LC,118292,A,0.0,1.86272,0.34935,0.27244,889
3,LC,118145,A,0.0,2.57602,0.57464,0.19619,889
4,LC,81488,B,0.0,3.48892,0.84356,0.12705,889
5,LC,63712,B,0.0,2.528,1.55393,0.29354,889
1,LC,112042,C,1.0,2.00076,0.26863,0.0789,889
2,LC,89505,A,1.0,1.49099,1.12765,0.17633,889
3,LC,117572,E,1.0,2.02578,1.05526,0.05391,889
4,LC,85244,A,1.0,3.01335,0.18654,0.26635,889
5,LC,118223,A,1.0,2.81886,-0.37712,0.19554,889
6,LC,15069,B,,1.77244,0.23114,0.00953,889
7,LC,120165,D,,2.9592,0.57101,0.16401,889
8,LC,118073,C,,1.68791,0.79504,0.13105,889
9,LC,86462,D,,2.38262,0.23283,0.11832,889
10,LC,97519,E,,2.39514,-0.22063,0.05035,889
11,LC,68920,A,,0.96148,-0.66104,0.01713,889
12,LC,118201,D,,0.79399,-0.42733,0.23668,889
13,LC,118251,C,,0.27414,4.27494,0.08273,889
14,LC,120342,E,,1.58638,1.45518,0.22273,889
15,LC,120646,D,,1.57672,1.15232,0.16243,889
16,LC,86515,B,,2.19688,0.92018,0.10506,889
17,LC,120170,E,,1.9866,1.65243,0.11374,889
18,LC,31981,D,,2.08211,0.59859,0.17197,889
19,LC,118218,D,,2.68787,0.62089,0.26778,889
20,LC,120623,D,,1.58074,1.24997,0.12025,889
21,LC,83331,A,,2.89764,0.57674,0.16815,889
22,LC,86329,B,,1.80201,0.20928,0.18024,889
23,LC,119763,B,,3.83474,0.4663,0.21265,889
24,LC,118240,B,,,,,889
25,LC,118279,B,,3.09031,2.70264,0.06863,889
26,LC,118269,D,,0.88199,2.40855,0.2075,889
27,LC,15105,E,,1.54517,1.71461,0.23079,889
28,LC,120627,B,,1.99613,1.20044,0.05794,889
29,LC,96262,C,,2.71876,0.24855,0.1477,889
30,LC,120154,E,,2.51375,1.26329,0.13472,889
31,LC,118205,A,,1.01454,0.06185,0.06182,889
32,LC,120375,D,,2.39615,1.63316,0.20335,889
33,LC,18745,A,,2.3308,1.6301,0.13047,889
34,LC,120340,B,,0.5311,0.41917,0.23722,889
35,LC,39441,D,,1.19989,0.74738,0.0877,889
36,LC,120560,B,,1.99754,2.27789,0.292,889
37,LC,120643,A,,2.94256,0.17547,0.22258,889
38,LC,118302,C,,1.4717,2.17279,0.19556,889
39,LC,118231,A,,1.42609,-0.65267,0.00765,889
40,LC,118250,C,,1.91893,0.83254,0.0852,889
41,LC,37831,D,,0.66145,1.56218,0.00747,889
42,LC,118293,C,,0.80105,2.47968,0.05719,889
43,LC,118258,D,,,,,889
44,LC,120639,D,,2.45537,0.7477,0.10142,889
45,LC,86594,C,,2.2723,1.56986,0.20724,889
1,LC,111852,C,0.0,3.02127,0.71646,0.18997,889
