CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA,Mean
90,CH,125656,B,2.13734,0.664,0.25431,879,74.32083333333337
89,CH,33940,B,2.20524,2.56419,0.13887,879,24.866071428571406
88,CH,96369,E,2.56529,1.19286,0.16157,879,27.798058252427186
87,CH,96415,E,2.49173,1.57817,0.16145,879,26.23248407643312
86,CH,112129,A,1.22,0.04233,0.19344,879,16.04555555555556
85,CH,88365,A,1.29208,1.81119,0.20192,879,10.148813559322038
84,CH,111846,B,3.22135,1.15587,0.18835,879,38.24137931034484
83,CH,118059,A,3.04986,0.83936,0.23466,879,11.645833333333327
82,CH,86998,B,1.8994,0.84844,0.2609,879,15.915517241379309
81,CH,95563,B,1.50299,0.57725,0.18681,879,14.225899280575534
80,CH,88561,C,1.78332,2.10818,0.177,879,11.877105831533482
79,CH,118012,E,1.52448,2.04577,0.21371,879,11.315730337078653
78,CH,118129,A,3.22966,0.96248,0.14036,879,14.81250000000001
77,CH,125716,A,2.56315,0.92494,0.16284,879,13.529203539823007
76,CH,95822,B,0.86436,3.26888,0.11203,879,9.535869565217393
75,CH,111880,E,2.52898,1.12459,0.15048,879,12.013636363636367
74,CH,112114,B,2.47232,1.18879,0.1676,879,17.681512605042013
73,CH,88342,A,1.63154,1.32755,0.10703,879,13.696568627450986
72,CH,125907,E,2.28342,0.77519,0.16873,879,13.545714285714284
71,CH,96669,A,1.57179,0.86617,0.2021,879,12.937795275590561
70,CH,125732,C,3.34532,0.29978,0.23028,879,12.864150943396222
69,CH,81914,C,1.85709,0.94313,0.1916,879,13.08818897637796
68,CH,111925,E,2.88658,0.55124,0.13869,879,14.671739130434782
67,CH,125722,E,2.36414,1.17248,0.09949,879,23.145871559633026
66,CH,98208,B,2.65063,0.47062,0.1495,879,33.004
65,CH,118135,A,1.60808,-0.32296,0.09046,879,36.29310344827586
64,CH,96289,C,2.16518,1.84941,0.13178,879,17.05050847457626
63,CH,111936,B,1.98717,1.20976,0.16546,879,16.56043956043955
62,CH,89649,D,2.49925,1.72549,0.13091,879,23.574193548387104
61,CH,111789,A,1.9399,0.2371,0.14756,879,23.769318181818186
60,CH,111875,B,3.51856,0.89984,0.18464,879,17.127536231884065
59,CH,125885,B,3.46336,0.36928,0.17747,879,19.081999999999997
58,CH,111817,E,1.77083,0.61191,0.09361,879,19.598947368421047
57,CH,87238,D,1.08479,1.43975,0.12871,879,10.794871794871796
56,CH,118206,D,1.90077,1.56953,0.14464,879,15.086757990867584
55,CH,112084,E,3.21414,1.1317,0.10829,879,27.346666666666664
54,CH,96872,C,2.15046,1.07751,0.23671,879,19.928205128205132
53,CH,125676,B,1.26786,0.66068,0.11201,879,17.2177033492823
52,CH,52843,D,1.80371,1.3784,0.16635,879,17.410380622837376
51,CH,98128,A,0.76584,0.78405,0.01834,879,21.95422535211269
50,CH,125707,B,3.51888,1.67763,0.13429,879,25.793367346938783
49,CH,125655,C,2.36532,0.38656,0.25854,879,13.254700854700857
48,CH,118058,D,2.2169,1.61961,0.16574,879,16.712252964426874
47,CH,86369,A,1.73639,1.33796,0.29641,879,15.014942528735634
46,CH,118049,B,1.54377,0.59033,0.19087,879,15.856666666666666
