CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA,Mean
180,MT,24895,B,1.78096,1.71637,0.13024,899,18.9391304347826
179,MT,117923,A,2.75345,1.87459,0.13839,899,17.707792207792213
178,MT,30836,C,3.29525,1.21452,0.20483,899,14.144859813084116
177,MT,37576,D,2.48037,1.4025,0.20245,899,18.078153846153857
176,MT,67554,D,1.68298,1.21252,0.14575,899,23.656995581737817
175,MT,111476,A,1.47905,1.59921,0.16153,899,15.498809523809534
174,MT,83741,C,1.35014,1.30326,0.25759,899,16.879663212435222
173,MT,30781,C,1.44209,1.37865,0.14881,899,21.443216783216776
172,MT,86767,D,1.71655,1.49877,0.15898,899,15.065227272727276
171,MT,88461,E,2.26058,1.88581,0.08167,899,8.865986394557826
170,MT,27471,C,1.45834,2.40851,0.19555,899,5.881764705882351
169,MT,30420,D,1.50712,2.23062,0.13965,899,9.582200647249186
168,MT,117624,E,1.50255,2.16194,0.08889,899,13.591477272727264
167,MT,82880,D,2.15753,1.94018,0.20437,899,3.8870629370629373
166,MT,66618,B,2.37606,1.82229,0.17489,899,27.884955752212388
165,MT,117832,D,2.72456,2.09992,0.08091,899,29.97015384615384
164,MT,111521,B,1.02386,0.77599,0.14727,899,32.50566948130274
163,MT,117831,B,2.46378,2.21305,0.18781,899,13.054341736694667
162,MT,88518,A,2.25826,1.27898,0.13427,899,16.210429447852775
161,MT,111716,E,2.68165,2.10496,0.14922,899,8.675714285714283
160,MT,117902,D,2.8311,1.0422,0.22906,899,12.970693512304239
159,MT,88357,A,2.34295,2.34886,0.13174,899,3.7305719921104474
158,MT,59786,B,2.1684,2.3852,0.14308,899,4.309907834101379
157,MT,96222,E,2.05592,2.38315,0.1479,899,3.734398034398035
156,MT,67990,A,1.72104,2.33151,0.16043,899,4.274647887323945
155,MT,117675,C,2.23694,1.91314,0.17071,899,4.496428571428572
154,MT,89238,D,1.92749,2.43343,0.24023,899,7.612846347607047
153,MT,117852,C,2.14382,1.53236,0.18146,899,10.558212560386481
152,MT,81869,E,0.38226,4.96788,0.08061,899,12.217503392130265
151,MT,85219,C,1.53863,1.95839,0.19274,899,8.89423076923077
150,MT,15454,C,2.32415,1.68956,0.10646,899,15.095617529880483
149,MT,97598,B,1.91435,1.09123,0.14146,899,24.424781341107874
148,MT,30751,C,1.62419,1.46799,0.17131,899,19.757760814249348
147,MT,84258,C,1.85811,1.0645,0.1004,899,32.82316076294279
146,MT,111459,E,3.23662,1.93237,0.16879,899,3.9000000000000017
145,MT,59925,C,1.41349,2.47483,0.26937,899,14.492857142857137
144,MT,39923,D,3.3336,1.47451,0.06764,899,35.89176470588233
143,MT,86433,D,1.67858,0.94544,0.07498,899,43.75411392405063
142,MT,117731,B,3.77336,2.88467,0.17343,899,14.971314741035854
141,MT,117692,A,2.10164,1.59278,0.09668,899,14.320153061224481
140,MT,96226,B,2.43365,1.57204,0.13348,899,26.280968858131484
139,MT,95820,E,1.50171,0.5697,0.1956,899,35.61637519872812
138,MT,117674,X,,,,899,0.0
137,MT,126019,E,0.37654,4.78322,0.0371,899,14.749447077409165
136,MT,15209,E,1.38496,1.73939,0.14078,899,16.901705756929648
