CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,TP_LINGUA,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA
1,LC,55166,B,0.0,2.66039,0.6113,0.19627,511
1,LC,96705,A,1.0,3.62651,0.79268,0.1043,511
2,LC,54110,D,0.0,2.82077,0.63692,0.16707,511
2,LC,118222,B,1.0,4.32465,0.4917,0.2523,511
3,LC,23564,A,0.0,4.08473,0.41261,0.20536,511
3,LC,39016,C,1.0,3.76151,0.92828,0.14061,511
4,LC,31954,B,0.0,2.02433,0.34872,0.20967,511
4,LC,118167,A,1.0,2.4633,0.48099,0.09893,511
5,LC,48558,D,1.0,2.74411,0.68157,0.13769,511
5,LC,118180,E,0.0,5.61439,0.49582,0.1457,511
6,LC,86563,B,,0.92314,1.22467,0.09006,511
7,LC,118161,C,,1.77698,0.04697,0.05812,511
8,LC,118147,B,,1.41373,-0.17071,0.01187,511
9,LC,118118,A,,3.00154,0.66248,0.15753,511
10,LC,118215,A,,3.60176,0.95343,0.15078,511
11,LC,118207,D,,1.28486,0.98541,0.11899,511
12,LC,118170,D,,1.60663,0.41552,0.00227,511
13,LC,90165,B,,3.81799,0.97593,0.19228,511
14,LC,118232,E,,0.78671,1.66055,0.07838,511
15,LC,118174,C,,3.99087,0.86875,0.1868,511
16,LC,76167,D,,1.82086,0.2283,0.00715,511
17,LC,68624,A,,1.7516,-0.24965,0.17322,511
18,LC,96525,A,,3.89027,0.76252,0.11963,511
19,LC,89317,E,,3.23142,-0.1884,0.16189,511
20,LC,86496,C,,2.30147,0.21937,0.08452,511
21,LC,118256,D,,1.92141,1.54986,0.12387,511
22,LC,118306,A,,2.85223,1.042,0.12609,511
23,LC,118264,E,,1.88081,0.20842,0.03365,511
24,LC,89550,C,,3.10874,0.76811,0.16616,511
25,LC,14169,B,,3.00635,1.13504,0.10103,511
26,LC,118235,E,,1.44895,1.42761,0.14063,511
27,LC,118117,C,,2.52418,0.19306,0.22915,511
28,LC,118278,B,,2.48291,1.15452,0.08973,511
29,LC,59976,C,,3.49523,0.62543,0.17905,511
30,LC,23833,C,,3.34117,0.44968,0.20117,511
31,LC,81992,D,,3.58061,0.76482,0.09494,511
32,LC,32261,E,,4.49928,0.23211,0.20659,511
33,LC,118260,E,,,,,511
34,LC,118134,A,,3.34867,1.04002,0.20217,511
35,LC,89874,A,,2.50294,-0.16837,0.05346,511
36,LC,86932,A,,0.6609,0.48081,0.02482,511
37,LC,24785,D,,4.0897,-0.15593,0.18836,511
38,LC,118028,D,,2.78473,1.21063,0.13942,511
39,LC,118246,B,,0.98835,2.9006,0.22558,511
40,LC,77356,B,,3.62272,0.75063,0.23761,511
41,LC,118276,C,,2.59876,0.75076,0.13733,511
42,LC,118299,D,,3.76828,1.13537,0.08402,511
43,LC,118165,C,,2.57957,0.47485,0.17883,511
44,LC,118103,E,,2.38734,2.25308,0.15051,511
45,LC,118192,B,,3.36624,2.31528,0.19736,511
