CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA,Mean
135,CN,84568,C,2.42831,1.66707,0.29842,503,9.990000000000007
134,CN,85548,D,2.96175,0.58267,0.11175,503,13.601951219512193
133,CN,117642,A,1.92967,1.07472,0.22014,503,6.257647058823528
132,CN,117875,D,1.78539,1.58564,0.13602,503,5.256687898089173
131,CN,111705,B,1.78669,1.78124,0.20473,503,11.151515151515161
130,CN,24104,E,3.41094,1.15715,0.16829,503,18.14220183486238
129,CN,89772,C,0.67587,1.59601,0.02169,503,23.11857923497268
128,CN,19407,E,2.32962,1.67314,0.14993,503,4.88
127,CN,111545,E,0.54124,3.79854,0.17374,503,6.102456140350874
126,CN,111601,B,7.09582,2.42384,0.23686,503,5.484955752212387
125,CN,83526,C,1.62997,1.70518,0.1628,503,17.800000000000004
124,CN,81478,B,2.37739,1.59193,0.20921,503,21.812834224598923
123,CN,60311,E,2.79351,0.15609,0.14102,503,28.05132075471699
122,CN,83609,E,,,,503,3.8930635838150263
121,CN,117979,B,1.19339,2.04675,0.26041,503,5.449152542372879
120,CN,54381,A,3.20714,2.14905,0.08067,503,9.623809523809525
119,CN,117890,B,1.85268,0.99689,0.12401,503,12.26329966329966
118,CN,117868,E,0.05808,8.96186,0.22071,503,17.4116129032258
117,CN,89515,C,3.14647,1.67856,0.32644,503,18.128938906752403
116,CN,55328,B,0.54974,0.97948,0.05877,503,26.27307692307692
115,CN,89298,A,1.02022,0.29761,0.0167,503,33.46676136363638
114,CN,39290,E,2.00073,0.8684,0.16452,503,10.386021505376336
113,CN,96556,A,1.66258,1.3767,0.17468,503,6.526104417670683
112,CN,49600,D,1.14904,2.36402,0.1148,503,6.421768707482999
111,CN,97169,A,5.93339,1.98881,0.13188,503,14.281818181818176
110,CN,14273,D,3.90297,2.19782,0.05798,503,14.145744680851058
109,CN,7629,B,0.75316,1.83643,0.10672,503,15.289150943396223
108,CN,78504,C,3.20779,1.67408,0.16383,503,27.905820105820105
107,CN,19223,B,2.06769,-0.11974,0.19742,503,32.60320284697507
106,CN,83441,D,4.60881,1.94111,0.12462,503,24.85555555555556
105,CN,82236,D,2.77263,1.28601,0.13618,503,31.85670731707318
104,CN,111624,D,1.03081,-0.00312,0.01163,503,36.70558252427188
103,CN,82490,C,1.75058,1.02204,0.23374,503,9.207307692307698
102,CN,117883,B,0.38139,3.36471,0.06869,503,11.51923076923077
101,CN,88853,C,2.39212,0.70901,0.165,503,11.76870229007634
100,CN,7529,D,2.26543,0.62256,0.1662,503,15.00038610038609
99,CN,117988,A,3.11909,0.80483,0.08561,503,12.843333333333332
98,CN,89150,E,3.482,0.29664,0.15617,503,19.45523465703971
97,CN,31718,D,1.90483,0.48421,0.21286,503,21.42633744855968
96,CN,86521,C,1.71979,0.25498,0.14498,503,26.54032786885244
95,CN,117746,A,1.2139,2.21432,0.09924,503,9.244360902255648
94,CN,117999,C,3.76618,0.41535,0.10709,503,17.764062499999998
93,CN,29776,E,2.80865,0.58402,0.21207,503,8.358695652173916
92,CN,117836,A,1.87838,1.45214,0.07496,503,9.213157894736842
91,CN,82364,A,2.43167,1.13773,0.22233,503,3.177611940298506
