CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA,Mean
45,CN,48663,E,3.57627,1.63399,0.08793,391,7.836856745479833
44,CN,17983,A,2.70478,1.41041,0.14995,391,11.851706036745409
43,CN,48655,A,2.90081,1.45295,0.15165,391,20.867283072546208
42,CN,8757,E,1.29682,2.03245,0.05236,391,21.750934995547645
41,CN,43880,E,4.27457,0.56765,0.22036,391,7.162040816326527
40,CN,60699,D,3.57306,1.33759,0.27353,391,10.273835616438358
39,CN,11793,C,2.16303,1.26972,0.22316,391,2.0724675324675315
38,CN,18231,A,2.77928,1.67212,0.20189,391,2.980527086383604
37,CN,43703,D,4.93511,1.20198,0.19216,391,4.521584699453552
36,CN,81780,C,1.89955,2.39752,0.20382,391,8.326715686274516
35,CN,61269,C,5.00249,0.92951,0.15259,391,2.308810949529512
34,CN,88873,B,1.76039,2.1206,0.13709,391,0.7044736842105258
33,CN,42557,C,3.63826,2.25847,0.23489,391,1.5756032171581764
32,CN,30022,D,2.35927,2.68155,0.19738,391,4.181564245810056
31,CN,82421,C,2.89479,1.7348,0.11597,391,5.652925877763322
30,CN,18349,E,1.57613,2.91532,0.05134,391,7.360445205479457
29,CN,68394,A,3.11856,1.34402,0.12344,391,9.390909090909098
28,CN,84223,A,3.62376,2.04059,0.13436,391,14.360130718954263
27,CN,88958,D,3.45481,0.81755,0.26187,391,44.40588235294117
26,CN,66897,A,3.34472,1.92451,0.17733,391,51.57183600713013
25,CN,23921,A,1.96096,0.49314,0.02466,391,58.59380804953559
24,CN,11590,B,2.56093,1.66137,0.12886,391,5.233333333333334
23,CN,60582,E,1.45789,2.60783,0.11336,391,6.37947598253275
22,CN,78598,C,4.32516,1.62067,0.21273,391,11.480907372400754
21,CN,26843,E,1.04515,2.77185,0.14751,391,28.623823529411766
20,CN,64059,D,3.73264,1.18769,0.12778,391,39.8310950413223
19,CN,49555,A,1.35058,0.85071,0.01215,391,45.84736238532113
18,CN,59829,C,2.90199,2.46786,0.0832,391,1.9652631578947373
17,CN,81971,B,2.43217,2.43127,0.10862,391,5.205452292441139
16,CN,87974,A,4.31314,1.03504,0.27747,391,11.451415094339634
15,CN,76032,B,2.03532,1.01157,0.21543,391,16.482396088019563
14,CN,62247,C,1.90393,1.8785,0.27172,391,5.013280212483401
13,CN,84291,D,1.6712,2.46941,0.13636,391,19.820118343195272
12,CN,56286,D,2.88725,2.23369,0.10286,391,34.43426573426574
11,CN,81968,E,0.85925,0.12588,0.04274,391,38.47750744786503
10,CN,42006,B,2.12666,0.69737,0.13978,391,31.018455743879464
9,CN,83923,B,1.47709,0.91191,0.34312,391,18.166517189835528
8,CN,47418,C,0.89534,2.03182,0.0696,391,21.05257069408741
7,CN,40150,B,2.52396,1.35265,0.14168,391,9.828616352201239
6,CN,89981,A,1.48688,1.61043,0.26684,391,9.490963855421693
5,CN,43722,D,4.50872,1.66775,0.12154,391,11.170242214532875
4,CN,81944,B,4.3139,0.81902,0.15681,391,16.16863468634686
3,CN,81339,E,2.23639,1.65616,0.24685,391,6.126271186440676
2,CN,59980,E,3.62645,1.11215,0.11193,391,12.090957446808508
1,CN,29460,D,4.15611,1.606,0.17345,391,0.6569999999999994
