CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA
1,MT,87141,A,0.80131,4.14316,0.1181,403
2,MT,84945,D,0.76406,4.65555,0.13227,403
3,MT,11758,B,2.52165,1.59123,0.16603,403
4,MT,68172,C,2.27998,1.44146,0.30754,403
5,MT,43906,C,1.91773,3.70512,0.08701,403
6,MT,96088,E,2.7463,2.15592,0.06966,403
7,MT,45300,C,0.92225,3.2473,0.18467,403
8,MT,82352,B,2.4349,1.74779,0.22339,403
9,MT,11720,B,1.54842,2.44318,0.17992,403
10,MT,86907,D,1.35417,2.03899,0.09909,403
11,MT,40005,B,2.16313,2.04605,0.18365,403
12,MT,17360,A,2.04425,1.81095,0.22729,403
13,MT,43322,E,0.96268,1.34664,0.01124,403
14,MT,85776,B,1.67089,2.41733,0.24803,403
15,MT,95556,B,2.22842,1.02866,0.13443,403
16,MT,96485,D,2.48432,2.07643,0.19837,403
17,MT,29915,D,2.2319,2.33706,0.10368,403
18,MT,16539,D,1.78755,0.20972,0.13567,403
19,MT,40235,A,0.74136,0.13558,0.20302,403
20,MT,41047,B,2.06629,3.8013,0.12848,403
21,MT,85691,D,1.7001,1.27713,0.14108,403
22,MT,60584,C,6.20439,2.65817,0.20972,403
23,MT,29086,C,1.9221,1.80836,0.15255,403
24,MT,81410,D,2.14608,2.90712,0.05065,403
25,MT,60724,E,1.73135,1.81579,0.18263,403
26,MT,40717,D,1.92882,2.59593,0.26714,403
27,MT,89162,E,0.94629,2.51063,0.16509,403
28,MT,43940,C,2.27542,0.97568,0.19626,403
29,MT,27493,B,3.21079,2.77172,0.21678,403
30,MT,96366,E,1.5736,3.62845,0.17737,403
31,MT,83860,A,2.81902,2.85105,0.15009,403
32,MT,23866,C,2.24077,1.33784,0.13824,403
33,MT,17384,D,2.30232,2.40148,0.07097,403
34,MT,29402,A,3.29084,1.89557,0.07463,403
35,MT,81452,E,2.76093,1.9432,0.25844,403
36,MT,87751,A,1.03002,2.41844,0.24519,403
37,MT,89339,A,1.38959,1.55638,0.17025,403
38,MT,87821,B,1.66062,1.89833,0.15134,403
39,MT,30042,B,0.33732,7.92092,0.19265,403
40,MT,66556,A,1.60982,3.04331,0.21799,403
41,MT,60235,C,1.09568,3.01649,0.04704,403
42,MT,95803,E,2.03148,1.76214,0.19951,403
43,MT,38563,E,1.45491,0.58108,0.32767,403
44,MT,61485,C,1.60552,2.68705,0.25409,403
45,MT,9189,D,1.61681,2.44593,0.11192,403
