CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA
1,CH,44604,C,3.43894,0.97831,0.10855,395
2,CH,38250,D,3.00837,0.49169,0.13877,395
3,CH,43284,D,0.60432,3.25992,0.08798,395
4,CH,81598,E,1.85031,0.57925,0.11344,395
5,CH,8172,C,2.4629,0.76307,0.17672,395
6,CH,49683,A,2.04543,0.74139,0.20814,395
7,CH,82228,D,4.02261,0.96775,0.17554,395
8,CH,45306,B,1.33884,2.80117,0.16665,395
9,CH,84226,E,3.15884,0.92459,0.095,395
10,CH,83848,A,0.67598,0.5519,0.00798,395
11,CH,84165,B,1.42185,0.7908,0.03124,395
12,CH,84192,D,2.19559,1.6262,0.15363,395
13,CH,20109,B,3.76399,0.57236,0.22484,395
14,CH,81916,E,0.9804,1.31334,0.0939,395
15,CH,82451,D,3.08524,0.90303,0.16443,395
16,CH,31360,A,1.31894,0.45809,0.22039,395
17,CH,78146,E,4.15431,0.99679,0.17249,395
18,CH,25316,C,3.11845,1.14451,0.21842,395
19,CH,67329,A,0.53807,1.55692,0.03894,395
20,CH,96575,E,1.59347,0.79893,0.02275,395
21,CH,66214,B,1.15442,1.88117,0.10267,395
22,CH,75940,D,1.37355,0.75842,0.07018,395
23,CH,84128,A,0.78,1.803,0.142,395
24,CH,6990,E,2.11976,2.68484,0.25867,395
25,CH,43294,B,1.36131,0.48866,0.01882,395
26,CH,76970,A,3.29925,0.72321,0.13557,395
27,CH,79027,E,3.05195,1.30961,0.19394,395
28,CH,67012,D,1.57485,1.06511,0.12223,395
29,CH,47012,B,3.07242,2.40178,0.20826,395
30,CH,37521,D,2.27318,0.94294,0.14533,395
31,CH,29085,B,3.658,1.22452,0.23857,395
32,CH,8456,B,3.69069,0.63388,0.16417,395
33,CH,25281,A,1.50343,1.89255,0.14213,395
34,CH,83836,E,4.42165,0.96735,0.16352,395
35,CH,30150,C,1.70412,2.19192,0.21601,395
36,CH,82449,D,1.15761,1.72114,0.0512,395
37,CH,7962,A,0.72218,0.54027,0.23758,395
38,CH,24935,E,2.30323,1.65187,0.15989,395
39,CH,27214,B,2.18689,0.39573,0.19169,395
40,CH,47840,C,2.04385,1.11658,0.20855,395
41,CH,18647,C,2.15799,0.8782,0.17855,395
42,CH,79005,C,3.00182,1.83487,0.10355,395
43,CH,24918,C,1.30844,2.80277,0.05925,395
44,CH,23043,D,1.93517,0.75431,0.10121,395
45,CH,49661,E,2.76077,0.40708,0.15169,395
