CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,TP_LINGUA,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA
1,LC,39570,C,0.0,3.39249,1.09008,0.0732,299
1,LC,55307,C,1.0,1.56923,0.8287,0.0376,299
2,LC,27055,E,0.0,3.26792,0.40842,0.24997,299
2,LC,54904,C,1.0,2.68534,0.99258,0.15497,299
3,LC,23559,D,0.0,4.59766,0.96572,0.13238,299
3,LC,23733,B,1.0,2.52006,1.16097,0.1191,299
4,LC,22565,E,1.0,1.75664,1.92813,0.19153,299
4,LC,30170,E,0.0,3.33756,1.09342,0.13912,299
5,LC,40290,A,0.0,3.10975,0.32336,0.22556,299
5,LC,55970,B,1.0,1.34437,1.3475,0.10395,299
6,LC,96818,D,,3.51228,1.12438,0.14171,299
7,LC,68217,B,,1.33428,0.86208,0.05399,299
8,LC,45089,A,,1.39389,1.79567,0.14872,299
9,LC,13547,B,,1.55604,0.02711,0.00854,299
10,LC,21776,E,,1.99405,2.4691,0.09933,299
11,LC,35682,C,,2.34952,1.55892,0.13674,299
12,LC,97113,A,,1.36149,0.80044,0.11603,299
13,LC,83851,B,,2.62307,1.13106,0.27574,299
14,LC,85805,D,,2.34551,0.69397,0.20406,299
15,LC,67813,A,,2.15877,0.25475,0.35078,299
16,LC,49264,D,,1.21462,1.8515,0.06463,299
17,LC,97334,E,,1.45439,0.85138,0.02341,299
18,LC,96667,A,,3.96146,1.02682,0.10745,299
19,LC,82375,D,,1.88721,1.14826,0.20057,299
20,LC,97945,C,,1.20202,2.41955,0.12378,299
21,LC,96509,E,,1.8985,1.12805,0.16347,299
22,LC,97420,D,,2.06036,1.69001,0.18694,299
23,LC,83000,C,,,,,299
24,LC,50236,B,,3.46667,1.04202,0.14212,299
25,LC,39973,E,,1.44439,0.60932,0.05067,299
26,LC,96749,B,,0.92671,0.91788,0.00601,299
27,LC,97467,B,,0.93853,2.0104,0.12791,299
28,LC,96670,C,,2.92362,1.1151,0.15473,299
29,LC,38027,E,,1.64323,2.21785,0.27013,299
30,LC,97949,B,,0.56575,2.6873,0.01676,299
31,LC,17194,A,,3.74839,0.05543,0.19965,299
32,LC,86338,A,,2.40068,0.24895,0.16861,299
33,LC,40014,E,,1.23712,2.36346,0.06559,299
34,LC,98005,B,,2.32399,0.94124,0.14902,299
35,LC,96640,A,,3.12071,1.58554,0.15695,299
36,LC,61388,A,,1.63434,0.78355,0.21774,299
37,LC,61413,E,,3.23106,1.11786,0.07442,299
38,LC,98083,C,,3.38223,0.53622,0.23094,299
39,LC,97244,B,,,,,299
40,LC,98151,B,,2.03207,0.84352,0.15591,299
41,LC,97379,C,,1.88369,0.71672,0.16741,299
42,LC,27677,B,,3.30709,1.84378,0.13759,299
43,LC,28735,D,,4.08315,1.27586,0.15154,299
44,LC,55655,A,,1.141,1.07852,0.04139,299
45,LC,86586,B,,1.37171,2.03519,0.15453,299
