CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA
46,CH,96431,B,0.68515,4.4884,0.20907,295
47,CH,86985,C,2.76178,1.7253,0.35786,295
48,CH,96455,B,2.13156,1.69451,0.07971,295
49,CH,88207,C,0.6742,3.20842,0.07622,295
50,CH,29404,C,1.34357,1.73717,0.25585,295
51,CH,83823,A,2.07441,1.93386,0.386,295
52,CH,97414,D,2.68475,0.38904,0.16444,295
53,CH,27437,C,1.21371,1.56041,0.24965,295
54,CH,41083,C,1.76265,1.78182,0.23473,295
55,CH,98123,B,2.94292,1.75685,0.17325,295
56,CH,88329,E,1.42817,1.44296,0.13717,295
57,CH,86911,D,1.27757,1.01906,0.01859,295
58,CH,97744,D,1.2155,1.0056,0.00187,295
59,CH,85884,B,4.1164,1.87825,0.09613,295
60,CH,97774,E,2.96271,1.05685,0.05984,295
61,CH,97290,E,3.92659,0.88944,0.08208,295
62,CH,54683,A,0.51745,1.21713,0.25568,295
63,CH,98025,D,1.76766,1.5175,0.18348,295
64,CH,54217,B,1.72937,2.08594,0.19777,295
65,CH,95568,D,1.10646,0.66914,0.1433,295
66,CH,24936,C,1.95943,0.83826,0.19797,295
67,CH,38717,E,2.16672,0.26192,0.27023,295
68,CH,86763,C,2.00866,2.47543,0.10484,295
69,CH,87834,C,3.00568,0.91662,0.11581,295
70,CH,86885,B,,,,295
71,CH,62021,B,1.84678,0.14936,0.09778,295
72,CH,18415,E,2.9152,1.11588,0.05002,295
73,CH,66550,C,1.59047,1.7207,0.22216,295
74,CH,97055,A,1.20207,-0.12191,0.02285,295
75,CH,29210,E,3.00104,1.3376,0.15186,295
76,CH,86787,E,4.5548,0.46145,0.20086,295
77,CH,88274,D,2.80201,1.5983,0.10112,295
78,CH,63486,D,2.51454,-0.01484,0.1992,295
79,CH,55998,A,2.13009,0.61591,0.16958,295
80,CH,84259,D,3.1637,1.66143,0.06037,295
81,CH,62417,C,1.0674,1.04364,0.21522,295
82,CH,85304,D,0.55563,1.17895,0.00802,295
83,CH,11802,D,2.77296,1.05072,0.12873,295
84,CH,63738,A,1.95603,0.80054,0.1909,295
85,CH,39993,C,1.37041,1.30459,0.22427,295
86,CH,97360,A,1.87971,0.0169,0.03899,295
87,CH,43313,A,1.79282,2.09158,0.31598,295
88,CH,63607,D,2.11918,0.42594,0.20399,295
89,CH,97370,B,0.6142,0.46232,0.01962,295
90,CH,96572,A,3.42178,0.91006,0.16741,295
