CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA
136,MT,11472,D,2.63746,2.11088,0.28635,303
137,MT,18364,A,2.81671,1.63196,0.30232,303
138,MT,30865,D,1.78461,0.5442,0.17099,303
139,MT,32686,C,1.66308,1.89621,0.13493,303
140,MT,27005,C,1.37969,1.86612,0.22417,303
141,MT,85018,E,1.63837,2.68497,0.14392,303
142,MT,32808,C,1.07664,1.11684,0.13937,303
143,MT,29844,B,2.19275,2.46663,0.11939,303
144,MT,53219,D,1.57797,0.76944,0.09447,303
145,MT,83608,E,1.41103,2.11256,0.1529,303
146,MT,25285,C,1.78123,1.4705,0.17889,303
147,MT,40660,A,1.35187,2.42336,0.15877,303
148,MT,16644,D,1.50889,1.52149,0.16712,303
149,MT,42706,C,1.64539,1.89258,0.19287,303
150,MT,24747,B,1.03364,2.43323,0.16635,303
151,MT,96774,A,1.82869,1.82931,0.18734,303
152,MT,60291,C,1.63497,3.74711,0.20983,303
153,MT,45081,D,1.11894,0.27904,0.19659,303
154,MT,42955,B,1.78999,0.80312,0.19843,303
155,MT,32221,C,0.94342,-0.40779,0.19983,303
156,MT,59795,E,2.1306,1.96996,0.09445,303
157,MT,37515,E,2.78017,0.90583,0.12599,303
158,MT,83234,A,0.98951,1.93987,0.07908,303
159,MT,83152,B,2.16875,2.57525,0.18866,303
160,MT,10052,D,0.86661,3.92011,0.186,303
161,MT,32969,D,1.98636,2.03775,0.14588,303
162,MT,53278,A,1.8996,2.1059,0.1077,303
163,MT,38786,A,1.46119,2.45335,0.12054,303
164,MT,42692,B,1.82503,1.84464,0.15051,303
165,MT,8476,D,1.15634,2.81506,0.10382,303
166,MT,87262,B,1.67523,2.64728,0.24232,303
167,MT,25723,C,2.10247,2.63616,0.2797,303
168,MT,39762,E,2.05535,2.59645,0.17208,303
169,MT,95265,A,0.29852,10.12436,0.15255,303
170,MT,30029,D,2.42957,1.79574,0.0949,303
171,MT,53721,D,1.60951,3.12558,0.13029,303
172,MT,85050,B,1.27355,2.80412,0.19635,303
173,MT,83906,E,1.62289,1.84916,0.15371,303
174,MT,17264,C,2.21669,1.90224,0.18132,303
175,MT,44243,E,2.94115,4.08667,0.1354,303
176,MT,48223,B,2.24873,1.70422,0.17961,303
177,MT,96833,A,1.75245,1.16274,0.08471,303
178,MT,39198,E,1.60611,2.5091,0.06869,303
179,MT,88786,B,1.64372,1.00596,0.08678,303
180,MT,60315,C,1.75029,3.06564,0.15981,303
